Token ID,Coefficient
0,-0.40354351066129
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-0.0
6,-0.0
7,-0.0
8,-0.0
9,-3.887429002895005
10,-0.15792720673370392
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-0.0
24,-0.0
25,-0.0
26,-0.0
27,-0.0
28,-2.5231682634651316
29,-0.0
30,-0.16612430177919
31,-0.0
32,-0.0
33,-0.0
34,-0.0
35,-0.0
36,-0.0
37,-0.4016049187161345
38,-0.0
39,-0.0
40,-0.0
41,-0.0
42,-0.0
43,-0.0
44,-0.0
45,-0.13027224754464922
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.019245537235360634
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-0.0
58,-0.0
59,-0.0
60,-0.0
61,0.0
62,-0.0
63,-2.5254035722708315
64,-0.0
65,-0.2317878437462048
66,-0.4680596423200947
67,-0.4366356006257951
68,-0.0
69,-1.3838171096706113
70,-0.14186670707699092
71,-0.45565324105384436
72,-0.0
73,-0.0
74,-0.5078323424763447
75,-0.0
76,-0.0
77,-1.4055328546981296
78,-0.0
79,-0.6483055207184207
80,-0.0
81,-0.0
82,-0.0
83,-0.0
84,-0.0
85,-0.0
86,-0.28432262606056735
87,-0.0
88,-0.12194603428975372
89,-0.0
90,-0.0
91,-0.5351448811089186
92,-0.0
93,-0.0
94,-0.022553378004097128
95,-1.037374881795411
96,-0.0
97,-0.0
98,-0.0
99,-0.0
100,-0.0
101,-0.0
102,-0.22099911965291202
103,-0.2017308597193807
104,-3.8713454801267893
105,-0.15635077339040943
106,-0.0
107,-0.0
108,-0.09714191254251328
109,-0.0
110,-1.917379869066476
111,-0.0
112,-0.0
113,-4.239839646099919
114,-0.8572718266117144
115,-0.0
116,-0.0
117,-0.0
118,-0.0
119,-0.0
120,-1.2079577246252584
121,-0.0
122,-8.561427822316574
123,-0.0
124,0.0
125,0.0
126,-0.0
127,-0.0
128,0.0
129,-0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,-2.0923019586785774
135,0.0
136,-1.1286619689458404
137,-2.9799892163741615
138,-0.0
139,0.0
140,-0.0
141,-0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,-0.0
149,-6.036366785990949
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,-0.0
157,0.0
158,-0.0
159,-6.412467347848253
160,0.0
161,0.0
162,-0.0
163,0.0
164,0.0
165,-0.0
166,-0.0
167,-0.0
168,-0.0
169,-0.0
170,-0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,-0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,-0.0
221,0.0
222,-0.0
223,-0.3899845068428657
224,-0.0
225,-0.5311048796186381
226,-0.0
227,-0.0
228,-0.0
229,-1.1621841697320732
230,-0.0
231,-0.0
232,-0.0
233,-0.6674436955667654
234,-0.25779640287785205
235,-0.2086361425852849
236,-0.0
237,-0.4486140585793413
238,-0.0
239,-0.0
240,-0.3150599910882531
241,-0.8928603441818134
242,-0.0
243,-0.0
244,-0.0
245,-0.24905135302577158
246,-0.531248166226726
247,-0.2071079447350819
248,-0.0
249,-0.0
250,-0.5235315540377848
251,-0.401372201645738
252,-0.0
253,-0.0
254,-0.22640491290662293
255,-0.4514218497366919
256,-0.21981122380201767
257,-0.0
258,-0.06414150038209449
259,-0.0
260,-0.18270563744116697
261,-0.0
262,-0.0
263,-0.0
264,-0.0
265,-0.0
266,-3.282457099038433
267,-0.0
268,-0.0
269,-1.8388716519436143
270,-0.0
271,-0.07887156369492339
272,-0.0
273,-0.036504222749120026
274,-0.0
275,-1.4149712694905139
276,-0.0
277,-3.120000391190722
278,-0.0
279,-0.0
280,-0.0
281,-0.0
282,-0.0
283,-0.0
284,-0.0
285,-2.089048737075172
286,-0.0
287,-0.0
288,-3.658477599985083
289,-0.8716394739162457
290,-0.0
291,-0.0
292,-0.0
293,-0.0
294,-0.0
295,-0.0
296,-1.2105916762883568
297,-1.0177283660739775
298,-0.0
299,-0.0
300,-0.3434337853058877
301,-0.0
302,-0.0
303,-0.0
304,-0.0
305,-0.0
306,-0.0
307,-0.12163300560103381
308,-0.4969336411119269
309,-0.0
310,-0.0
311,-0.0
312,-0.4976705086822638
313,-3.3094815369266395
314,-0.2519282967671543
315,-1.5281863901983643
316,-0.08102944672479533
317,-0.0
318,-0.0
319,-0.0
320,-0.3066712749294268
321,-0.0
322,-0.0
323,-0.0
324,-0.0
325,-0.0
326,-0.0
327,-0.0
328,-2.104749843672649
329,-0.0
330,-0.0
331,-0.0
332,-0.0
333,-0.5681206379333809
334,-0.0
335,-0.0
336,-0.5111480480541478
337,-0.0
338,-0.0
339,-0.3452699717375322
340,-0.0
341,-0.0
342,-0.0
343,-0.017509070553862846
344,-0.0
345,-1.1367082052603141
346,-0.3326987200736335
347,-0.0
348,-8.339878776391688
349,-0.0
350,-0.0
351,-0.0
352,-0.0
353,-0.0
354,-0.1556529864647839
355,-0.0
356,-0.0
357,-0.0
358,-0.0
359,-0.0
360,-0.0
361,-0.0
362,-0.0
363,-3.8001394705118243
364,-0.0
365,-0.0
366,-0.13668306898212726
367,-0.0
368,-0.0
369,-8.415306769390153
370,-0.0
371,-0.0
